sentence;smsa_label;hate_hs;hate_abusive
ulama merupakan orang-orang yang memiliki dan ahli dalam ilmu agama dan ilmu-ilmu umum lainnya yang berkaitan dengan kemaslahatan umat;neutral;0;0
ibnu jarir ath-thabari dalam kitabnya jamiul bayan mengartikan ulama sebagai orang yang allah swt jadikan sebagai pemimpin umat manusia berkaitan dengan perkara hukum ilmu agama dan dunia;neutral;0;0
sedangkan menurut ibnul qayyim dalam ilamu muwaqqiin ulama itu ialah seorang pakar dalam hukum islam yang berhak berfatwa di tengah-tengah umat yang menyibukkan diri dengan mempelajari hukum-hukum islam dan menyimpulkannya serta yang merumuskan kaidah-kaidah halal dan haram;neutral;0;0
di indonesia orang-orang yang disebut ulama ialah orang-orang yang memiliki keahlian dalam bidang agama terutama fiqih serta orang yang memiliki integritas moral akhlak yang baik dan dekat/melebur dengan umat utamanya masyarakat lapisan bawah;neutral;0;0
dalam quran ayat yang membahas terkait ulama ialah qs fathir 28 yaitu;neutral;0;0
kyai imam majelis ulama indonesia atau mui lp pom mui ustadz syaikh;neutral;0;0
pengertian ulama yang sesungguhnya di risalahislam;neutral;0;0
quranic geography a survey and evaluation of the geographical references in the quran with suggested solutions for various problems and issues;neutral;0;0
bahwasanya taurat alkitab beserta quran merupakan suatu perbedaan yang tidak memiliki kesatuan utuh yang juga tidak saling berkaitan dalam keimanan terhadap kitab-kitab injil dan allah islam;neutral;0;0
dengan rencana-nya quran akan mengurangi ego kita memberikan kita tantangan akan kejujuran subjektif kita menghapus keengganan kita untuk menghamba dan menghilangkan pandangan kita yang terbatas mengenai siapa kita dan siapa tuhan kita;neutral;0;0
neal robinson discovering the quran georgetown university press 2002;neutral;0;0
quran menjelaskan sendiri bahwa isi dari quran adalah sebuah petunjuk;neutral;0;0
getaran keagungan allah diturunkan ketika kedua mata nabi muhammad terbuka akan kenyataan bahwa quran tidak diciptakan dari huruf-huruf tapi ia adalah frekuensi cahaya ilahi yang tercetak dalam setiap rohnya;neutral;0;0
